year,region,gender,year_born,education_tier,marriage_tier,income_tier,occupation_code
2005,1,2,1961,2,1,2,51
2005,1,2,1961,2,1,2,51
2005,1,2,1961,2,1,2,51
2005,1,2,1961,2,1,2,51
2005,1,2,1961,2,1,2,51
2005,1,2,1961,2,1,2,51
2006,1,2,1961,2,1,2,41
2006,1,2,1961,2,1,2,41
2006,1,2,1961,2,1,2,41
2006,1,2,1961,2,1,2,41
2006,1,2,1961,2,1,2,41
2006,1,2,1961,2,1,2,41
2007,1,2,1961,2,1,2,41
2007,1,2,1961,2,1,2,41
2007,1,2,1961,2,1,2,41
2007,1,2,1961,2,1,2,41
2007,1,2,1961,2,1,2,41
2007,1,2,1961,2,1,2,41
2008,1,2,1961,2,1,3,43
2008,1,2,1961,2,1,3,43
2008,1,2,1961,2,1,3,43
2008,1,2,1961,2,1,3,43
2008,1,2,1961,2,1,3,43
2008,1,2,1961,2,1,3,43
2005,1,2,1962,2,0,2,93
2005,1,2,1962,2,0,2,93
2005,1,2,1962,2,0,2,93
2005,1,2,1962,2,0,2,93
2005,1,2,1962,2,0,2,93
2005,1,2,1962,2,0,2,93
2006,1,2,1962,2,0,2,93
2006,1,2,1962,2,0,2,93
2006,1,2,1962,2,0,2,93
2006,1,2,1962,2,0,2,93
2006,1,2,1962,2,0,2,93
2006,1,2,1962,2,0,2,93
2007,1,2,1962,2,0,2,93
2007,1,2,1962,2,0,2,93
2007,1,2,1962,2,0,2,93
2007,1,2,1962,2,0,2,93
2007,1,2,1962,2,0,2,93
2007,1,2,1962,2,0,2,93
2008,1,2,1962,2,0,2,72
2008,1,2,1962,2,0,2,72
2008,1,2,1962,2,0,2,72
2008,1,2,1962,2,0,2,72
2008,1,2,1962,2,0,2,72
2008,1,2,1962,2,0,2,72
2009,1,2,1962,2,0,3,94
2009,1,2,1962,2,0,3,94
2009,1,2,1962,2,0,3,94
2009,1,2,1962,2,0,3,94
2009,1,2,1962,2,0,3,94
2009,1,2,1962,2,0,3,94
2010,1,2,1962,2,0,3,94
2010,1,2,1962,2,0,3,94
2010,1,2,1962,2,0,3,94
2010,1,2,1962,2,0,3,94
2010,1,2,1962,2,0,3,94
2010,1,2,1962,2,0,3,94
2011,1,2,1962,2,0,3,94
2011,1,2,1962,2,0,3,94
2011,1,2,1962,2,0,3,94
2011,1,2,1962,2,0,3,94
2011,1,2,1962,2,0,3,94
2011,1,2,1962,2,0,3,94
2006,1,2,1961,2,0,2,94
2006,1,2,1961,2,0,2,94
2006,1,2,1961,2,0,2,94
2006,1,2,1961,2,0,2,94
2006,1,2,1961,2,0,2,94
2006,1,2,1961,2,0,2,94
2012,1,2,1961,2,0,2,95
2012,1,2,1961,2,0,2,95
2012,1,2,1961,2,0,2,95
2012,1,2,1961,2,0,2,95
2012,1,2,1961,2,0,2,95
2012,1,2,1961,2,0,2,95
2013,1,2,1961,2,0,2,95
2013,1,2,1961,2,0,2,95
2013,1,2,1961,2,0,2,95
2013,1,2,1961,2,0,2,95
2013,1,2,1961,2,0,2,95
2013,1,2,1961,2,0,2,95
2014,1,2,1961,2,0,3,95
2014,1,2,1961,2,0,3,95
2014,1,2,1961,2,0,3,95
2014,1,2,1961,2,0,3,95
2014,1,2,1961,2,0,3,95
2014,1,2,1961,2,0,3,95
2015,1,2,1961,2,0,2,95
2015,1,2,1961,2,0,2,95
2015,1,2,1961,2,0,2,95
2015,1,2,1961,2,0,2,95
2015,1,2,1961,2,0,2,95
2015,1,2,1961,2,0,2,95
2016,1,2,1961,2,0,2,95
2016,1,2,1961,2,0,2,95
2016,1,2,1961,2,0,2,95
2016,1,2,1961,2,0,2,95
2016,1,2,1961,2,0,2,95
2016,1,2,1961,2,0,2,95
2017,1,2,1961,2,0,2,95
2017,1,2,1961,2,0,2,95
2017,1,2,1961,2,0,2,95
2017,1,2,1961,2,0,2,95
2017,1,2,1961,2,0,2,95
2017,1,2,1961,2,0,2,95
2018,1,2,1961,2,0,2,95
2018,1,2,1961,2,0,2,95
2018,1,2,1961,2,0,2,95
2018,1,2,1961,2,0,2,95
2018,1,2,1961,2,0,2,95
2018,1,2,1961,2,0,2,95
2008,1,2,1964,2,0,2,51
2008,1,2,1964,2,0,2,51
2008,1,2,1964,2,0,2,51
2008,1,2,1964,2,0,2,51
2008,1,2,1964,2,0,2,51
2008,1,2,1964,2,0,2,51
2005,1,2,1981,2,0,2,42
2005,1,2,1981,2,0,2,42
2005,1,2,1981,2,0,2,42
2005,1,2,1981,2,0,2,42
2005,1,2,1981,2,0,2,42
2005,1,2,1981,2,0,2,42
2006,1,2,1981,2,0,2,91
2006,1,2,1981,2,0,2,91
2006,1,2,1981,2,0,2,91
2006,1,2,1981,2,0,2,91
2006,1,2,1981,2,0,2,91
2006,1,2,1981,2,0,2,91
2008,1,2,1982,2,0,2,39
2008,1,2,1982,2,0,2,39
2008,1,2,1982,2,0,2,39
2008,1,2,1982,2,0,2,39
2008,1,2,1982,2,0,2,39
2008,1,2,1982,2,0,2,39
2005,1,2,1972,3,0,2,31
2005,1,2,1972,3,0,2,31
2005,1,2,1972,3,0,2,31
2005,1,2,1972,3,0,2,31
2005,1,2,1972,3,0,2,31
2005,1,2,1972,3,0,2,31
2008,1,2,1972,2,0,2,31
2008,1,2,1972,2,0,2,31
2008,1,2,1972,2,0,2,31
2008,1,2,1972,2,0,2,31
2008,1,2,1972,2,0,2,31
2008,1,2,1972,2,0,2,31
2009,1,2,1972,2,0,2,31
2009,1,2,1972,2,0,2,31
2009,1,2,1972,2,0,2,31
2009,1,2,1972,2,0,2,31
2009,1,2,1972,2,0,2,31
2009,1,2,1972,2,0,2,31
2005,1,2,1963,3,0,3,31
2005,1,2,1963,3,0,3,31
2005,1,2,1963,3,0,3,31
2005,1,2,1963,3,0,3,31
2005,1,2,1963,3,0,3,31
2005,1,2,1963,3,0,3,31
2006,1,2,1963,3,0,3,11
2006,1,2,1963,3,0,3,11
2006,1,2,1963,3,0,3,11
2006,1,2,1963,3,0,3,11
2006,1,2,1963,3,0,3,11
2006,1,2,1963,3,0,3,11
2005,1,2,1966,2,0,2,31
2005,1,2,1966,2,0,2,31
2005,1,2,1966,2,0,2,31
2005,1,2,1966,2,0,2,31
2005,1,2,1966,2,0,2,31
2005,1,2,1966,2,0,2,31
