year,region,gender,year_born,education_tier,marriage_tier,income_tier,occupation_code
2014,5,1,1976,3,1,3,87
2015,5,1,1976,3,1,3,87
2016,5,1,1976,3,1,3,87
2017,5,1,1976,3,1,3,87
2018,5,1,1976,3,1,3,87
2011,5,1,1968,2,0,2,77
2012,5,1,1968,2,0,2,44
2014,5,1,1968,2,0,2,77
2015,5,1,1968,2,0,2,77
2016,5,1,1968,2,0,2,77
2017,5,1,1968,2,0,2,77
2011,5,1,1968,2,0,1,43
2012,5,1,1968,2,0,2,43
2017,5,1,1968,2,0,2,87
2011,5,1,1959,2,1,3,24
2013,5,1,1959,2,1,3,24
2014,5,1,1959,2,1,3,24
2015,5,1,1959,2,1,4,24
2016,5,1,1959,2,1,4,24
2017,5,1,1959,2,1,4,24
2018,5,1,1959,2,1,4,24
2011,6,1,1973,2,1,2,41
2012,6,1,1973,2,1,2,41
2011,6,1,1965,1,1,2,77
2012,6,1,1965,1,1,2,77
2013,6,1,1965,1,1,2,77
2014,6,1,1965,1,1,2,77
2015,6,1,1965,1,1,2,77
2016,6,1,1965,1,1,3,77
2017,6,1,1965,1,1,3,77
2018,6,1,1965,1,1,3,78
2011,6,1,1967,2,1,2,87
2012,6,1,1967,2,1,2,87
2011,6,1,1964,3,1,3,77
2012,6,1,1964,3,1,3,77
2013,6,1,1964,3,1,2,77
2014,6,1,1964,3,1,3,77
2015,6,1,1964,3,1,3,77
2016,6,1,1964,3,1,3,77
2017,6,1,1964,3,1,3,77
2018,6,1,1964,3,1,3,14
2011,6,1,1973,2,0,2,79
2014,6,1,1973,2,0,2,39
2018,6,1,1973,2,0,2,25
2011,6,1,1966,2,0,2,91
2012,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2011,5,1,1964,2,1,3,87
2012,5,1,1964,2,1,3,87
2013,5,1,1964,2,1,3,87
2014,5,1,1964,2,1,3,87
2015,5,1,1964,2,1,4,87
2016,5,1,1964,2,1,4,87
2017,5,1,1964,2,1,3,87
2018,5,1,1964,2,1,3,87
2011,2,1,1975,3,1,3,22
2012,2,1,1975,3,1,2,22
2013,2,1,1975,3,1,2,22
2015,2,1,1975,3,1,3,39
2016,2,1,1975,3,1,3,39
2017,2,1,1975,3,1,3,39
2018,2,1,1975,3,1,3,39
2011,2,1,1970,2,1,3,14
2012,2,1,1970,2,1,3,14
2011,2,1,1963,2,1,4,11
2012,2,1,1963,2,1,3,11
2011,1,1,1970,3,1,3,23
2012,1,1,1970,3,1,3,23
2011,1,1,1978,2,1,2,92
2012,1,1,1978,2,1,2,92
2013,1,1,1978,2,1,2,92
2014,1,1,1978,2,1,2,92
2011,1,1,1959,2,0,2,87
2012,1,1,1959,2,0,2,87
2013,1,1,1959,2,0,2,42
2014,1,1,1959,2,0,2,92
2015,1,1,1959,2,0,2,92
2016,1,1,1959,2,0,2,92
2017,1,1,1959,2,0,2,92
2018,1,1,1959,2,0,2,92
2011,2,1,1974,2,1,3,23
2012,2,1,1974,2,1,3,23
2013,2,1,1974,2,1,4,23
2014,2,1,1974,2,1,3,23
2015,2,1,1974,2,1,3,23
2016,2,1,1974,2,1,3,23
2017,2,1,1974,2,1,3,23
2018,2,1,1974,2,1,3,23
2014,6,1,1987,2,1,2,85
2015,6,1,1987,2,1,3,85
2016,6,1,1987,2,1,3,85
2011,6,1,1965,2,1,3,83
2012,6,1,1965,2,1,3,83
2013,6,1,1965,2,1,3,83
2014,6,1,1965,2,1,3,83
2015,6,1,1965,2,1,4,83
2016,6,1,1965,2,1,4,83
2018,6,1,1965,2,1,4,83
2011,6,1,1964,2,1,3,87
2012,6,1,1964,2,1,3,87
2013,6,1,1964,2,1,2,87
2011,6,1,1968,2,1,2,94
2012,6,1,1968,2,1,2,94
2013,6,1,1968,2,1,2,94
2015,6,1,1968,2,1,2,75
2016,6,1,1968,2,1,2,75
2017,6,1,1968,2,1,2,75
2018,6,1,1968,2,1,2,75
2011,6,1,1965,2,1,2,79
2012,2,1,1965,2,1,2,79
2013,2,1,1965,2,1,2,79
2011,6,1,1974,3,1,2,23
2012,6,1,1974,3,1,2,23
2013,6,1,1974,3,1,2,23
2014,6,1,1974,3,1,3,23
2015,6,1,1974,3,1,3,23
2016,6,1,1974,3,1,3,23
2017,6,1,1974,3,1,3,23
2018,6,1,1974,3,1,3,23
2011,6,1,1981,2,1,3,31
2012,6,1,1981,2,1,3,31
2013,6,1,1981,2,1,3,31
2014,6,1,1981,2,1,3,31
2015,6,1,1981,2,1,3,31
2016,6,1,1974,2,0,2,91
2011,5,1,1972,2,1,2,92
2012,5,1,1972,2,1,2,92
2013,5,1,1972,2,1,2,92
2014,5,1,1972,2,1,3,92
2015,5,1,1972,2,1,3,87
2016,5,1,1972,2,1,3,87
2017,5,1,1972,2,1,3,87
2011,5,1,1960,3,1,3,91
2013,5,1,1960,3,1,2,94
2014,5,1,1960,3,1,3,79
2016,5,1,1960,3,1,3,74
2011,2,1,1973,2,1,3,73
2012,2,1,1973,2,1,2,73
2011,2,1,1977,2,0,2,75
2012,2,1,1977,2,0,2,75
2013,2,1,1977,2,0,2,75
2014,2,1,1977,2,0,2,75
2015,2,1,1977,2,0,2,75
2016,2,1,1977,2,0,2,75
2017,1,1,1977,2,0,2,75
2018,1,1,1977,2,0,2,75
2014,1,1,1978,3,1,3,13
2015,1,1,1978,3,1,3,13
2016,1,1,1978,3,1,3,31
2017,1,1,1978,3,1,3,31
2018,1,1,1978,3,1,3,31
2011,1,1,1965,1,1,2,72
2011,6,1,1973,2,1,3,14
2012,6,1,1973,2,1,3,14
2013,6,1,1973,2,1,4,14
2014,6,1,1973,2,1,4,14
2015,6,1,1973,2,1,4,14
2016,6,1,1973,2,1,4,14
2011,6,1,1980,2,1,2,93
2012,6,1,1980,2,1,3,93
2013,6,1,1980,2,1,2,86
2014,6,1,1980,2,1,2,86
2015,6,1,1980,2,1,3,86
2016,6,1,1980,2,1,2,86
2017,6,1,1980,2,1,3,86
2018,6,1,1980,2,1,3,86
2011,6,1,1972,2,0,2,23
2011,6,1,1961,3,1,3,31
2012,6,1,1961,3,1,3,31
2013,6,1,1961,3,1,2,86
2014,6,1,1961,3,1,3,93
2015,6,1,1961,3,1,3,93
2011,6,1,1959,2,1,2,93
2012,6,1,1959,2,1,3,93
2013,6,1,1959,2,1,2,93
2014,6,1,1959,2,1,2,93
2015,6,1,1959,2,1,2,93
2016,6,1,1959,2,1,2,93
2017,6,1,1959,2,1,2,93
2018,6,1,1959,2,1,2,93
2011,6,1,1974,2,1,2,93
2012,6,1,1974,2,1,2,93
2013,6,1,1974,2,1,2,74
2014,6,1,1974,2,1,2,74
2015,6,1,1974,2,1,3,31
2016,5,1,1974,2,1,3,31
2017,5,1,1974,2,1,3,31
2018,5,1,1974,2,1,3,31
2011,6,1,1963,2,1,2,61
2012,6,1,1963,2,1,3,61
2013,6,1,1963,2,1,3,61
2014,6,1,1963,2,1,2,61
2015,6,1,1963,2,1,3,61
2016,6,1,1963,2,1,3,61
2017,6,1,1963,2,1,2,61
2018,6,1,1963,2,1,2,61
2016,6,1,1998,2,0,2,21
2017,6,1,1998,2,0,2,61
2018,6,1,1998,2,0,2,99
2014,6,1,1982,3,1,2,51
2015,6,1,1982,3,1,2,51
2016,6,1,1982,3,1,2,51
2017,6,1,1982,3,1,2,51
2018,6,1,1982,3,1,2,51
2012,6,1,1976,2,0,2,92
2013,6,1,1976,2,0,2,92
2014,6,1,1976,2,0,2,92
2015,6,1,1976,2,0,2,92
2016,6,1,1976,2,0,2,92
2017,6,1,1976,2,0,2,92
2018,6,1,1976,2,0,3,92
2011,6,1,1976,3,1,2,25
2012,6,1,1976,3,1,3,25
2013,6,1,1976,3,1,2,25
2014,6,1,1976,3,1,2,25
2015,6,1,1976,3,1,4,25
2011,6,1,1976,2,1,2,88
2012,6,1,1976,2,1,2,88
2013,6,1,1976,2,1,2,88
2014,6,1,1976,2,1,2,88
2014,6,1,1980,2,1,2,52
2015,6,1,1980,2,1,3,52
2016,6,1,1980,2,1,2,52
2017,6,1,1980,2,1,2,52
2018,6,1,1980,2,1,3,52
2011,6,1,1960,2,1,2,43
2012,6,1,1960,2,1,2,43
2011,5,1,1987,2,0,2,77
2012,5,1,1987,2,0,3,77
2013,5,1,1987,2,0,3,84
2011,5,1,1962,2,1,3,52
2015,5,1,1962,2,1,3,52
2017,5,1,1962,2,1,4,52
2018,5,1,1962,2,1,3,52
2011,2,1,1978,2,1,2,31
2012,2,1,1978,2,1,3,31
2013,2,1,1978,2,1,2,31
2014,2,1,1978,2,1,2,31
2015,2,1,1978,2,1,2,31
2016,2,1,1978,2,1,3,31
2017,2,1,1978,2,1,2,31
2018,1,1,1978,2,1,3,31
2011,2,1,1985,2,1,2,51
2012,2,1,1985,2,1,2,51
2013,2,1,1985,2,1,2,51
2014,2,1,1985,2,1,2,51
2015,2,1,1985,2,1,3,51
2016,2,1,1985,2,1,3,51
2017,2,1,1985,2,1,3,92
2018,2,1,1985,2,1,3,92
2011,2,1,1966,2,1,3,93
2012,2,1,1966,2,1,3,93
2013,2,1,1966,2,1,3,93
2014,2,1,1966,2,1,3,92
2015,2,1,1966,2,1,3,92
2016,2,1,1966,2,1,3,92
2017,2,1,1966,2,1,3,92
2018,2,1,1966,2,1,3,92
2011,2,1,1970,2,1,2,93
2013,2,1,1970,2,1,2,74
2014,2,1,1970,2,1,2,74
2015,2,1,1970,2,1,2,74
2011,1,1,1963,3,0,3,41
2012,1,1,1963,3,0,3,41
2013,1,1,1963,3,0,3,41
2014,1,1,1963,3,0,3,41
2015,1,1,1963,3,0,3,41
2016,1,1,1963,3,0,3,41
2011,1,1,1969,3,1,3,23
2012,2,1,1969,3,1,4,23
2013,2,1,1969,3,1,4,23
2014,2,1,1969,3,1,4,23
2015,2,1,1969,3,1,4,23
2016,2,1,1969,3,1,4,23
2017,2,1,1969,3,1,4,23
2018,2,1,1969,3,1,4,23
2011,6,1,1967,2,1,3,87
2012,7,1,1967,2,1,3,87
2013,7,1,1967,2,1,3,87
2014,5,1,1967,2,1,4,87
2015,5,1,1967,2,1,3,87
2016,5,1,1967,2,1,3,87
2017,5,1,1967,2,1,4,87
2018,5,1,1967,2,1,3,87
