year,region,gender,year_born,education_tier,marriage_tier,income_tier,occupation_code
2006,1,1,1973,3,1,2,31
2011,1,1,1973,3,1,4,31
2012,1,1,1973,3,1,3,31
2013,1,1,1973,3,1,3,31
2014,1,1,1973,3,1,3,31
2015,1,1,1973,3,1,3,31
2016,1,1,1973,3,1,3,31
2017,1,1,1973,3,1,4,31
2018,1,1,1973,3,1,4,31
2005,1,1,1963,2,0,2,41
2006,1,1,1963,2,0,2,41
2007,1,1,1963,2,0,2,41
2008,1,1,1963,2,0,2,28
2009,1,1,1963,2,0,2,28
2010,1,1,1963,2,0,2,28
2011,1,1,1963,2,0,2,28
2012,1,1,1963,2,0,2,28
2005,1,1,1963,2,1,3,51
2006,1,1,1963,2,1,3,75
2007,1,1,1963,2,1,3,75
2008,1,1,1963,2,1,2,72
2009,1,1,1963,2,1,2,72
2010,1,1,1963,2,1,3,72
2011,1,1,1963,2,1,3,72
2005,1,1,1961,2,1,3,82
2009,1,1,1973,2,1,3,39
2010,1,1,1973,2,1,3,39
2011,1,1,1973,2,1,3,39
2012,1,1,1973,2,1,3,39
2014,1,1,1973,2,1,3,39
2015,1,1,1973,2,1,4,39
2017,5,1,1975,2,0,2,92
2018,5,1,1975,2,0,3,76
2016,5,1,1975,2,0,2,92
2007,1,1,1980,3,0,2,13
2005,1,1,1966,2,1,2,61
2006,1,1,1966,2,1,2,61
2007,1,1,1966,2,1,3,61
2008,1,1,1966,2,1,3,61
2009,1,1,1966,2,1,2,31
2010,1,1,1966,2,1,3,31
2011,1,1,1966,2,1,3,31
2012,1,1,1966,2,1,3,31
2013,1,1,1966,2,1,3,31
2014,1,1,1966,2,1,3,31
2015,1,1,1966,2,1,3,31
2005,1,1,1965,2,1,2,75
2006,1,1,1965,2,1,2,75
2007,1,1,1965,2,1,2,75
2008,1,1,1965,2,1,2,75
2009,1,1,1965,2,1,2,75
2010,1,1,1965,2,1,2,72
2011,1,1,1965,2,1,2,72
2012,1,1,1965,2,1,2,72
2013,1,1,1965,2,1,2,72
2014,1,1,1965,2,1,2,72
2015,1,1,1965,2,1,2,72
2016,1,1,1965,2,1,3,72
2017,1,1,1965,2,1,3,72
2018,1,1,1965,2,1,2,72
2005,1,1,1960,2,1,3,75
2018,6,1,1979,2,1,2,74
2006,1,1,1960,2,1,2,94
2007,1,1,1960,2,1,2,94
2008,1,1,1960,2,1,2,94
2009,1,1,1960,2,1,2,94
2010,1,1,1960,2,1,3,94
2011,1,1,1960,2,1,3,94
2012,1,1,1960,2,1,3,94
2013,1,1,1960,2,1,3,94
2014,1,1,1960,2,1,3,94
2015,1,1,1960,2,1,3,94
2016,1,1,1960,2,1,3,94
2017,1,1,1960,2,1,3,94
2018,1,1,1960,2,1,3,94
2014,2,1,1987,3,1,2,86
2015,2,1,1987,3,1,2,86
2016,2,1,1987,3,1,2,86
2017,2,1,1987,3,1,2,86
2018,2,1,1987,3,1,2,86
2005,1,1,1961,1,0,2,74
2006,1,1,1961,1,0,2,74
2007,2,1,1961,1,0,2,74
2008,2,1,1961,1,0,2,79
2009,2,1,1961,1,0,2,89
2010,2,1,1961,1,0,2,89
2011,2,1,1961,1,0,2,89
2012,2,1,1961,1,0,2,89
2013,2,1,1961,1,0,2,89
2014,2,1,1961,1,0,2,91
2015,2,1,1961,1,0,2,91
2016,2,1,1961,1,0,3,91
2017,2,1,1961,1,0,2,91
2018,2,1,1961,1,0,2,91
2005,1,1,1967,2,1,2,51
2006,1,1,1967,2,1,2,51
2007,1,1,1967,2,1,3,51
2008,1,1,1967,2,1,3,52
2009,1,1,1967,2,0,2,52
2010,1,1,1967,2,0,2,52
2011,1,1,1967,2,0,2,52
2012,1,1,1967,2,0,2,52
2013,1,1,1967,2,0,3,52
2014,1,1,1967,2,0,2,52
2015,1,1,1967,2,0,2,43
2016,1,1,1967,2,0,2,92
2017,1,1,1967,2,0,2,92
2018,1,1,1967,2,0,2,52
2005,1,1,1973,2,1,3,51
2018,2,1,1983,2,0,2,89
2005,1,1,1962,2,1,3,31
2007,1,1,1962,2,1,2,51
2008,1,1,1962,2,1,3,51
2009,1,1,1962,2,1,3,51
2010,1,1,1962,2,1,3,51
2012,1,1,1962,2,1,2,92
2013,1,1,1962,2,1,3,51
2014,1,1,1962,2,1,2,51
2015,1,1,1962,2,1,3,51
2016,1,1,1962,2,1,4,51
2017,1,1,1962,2,1,4,43
2018,1,1,1962,2,1,4,43
2005,1,1,1959,2,1,3,84
2006,1,1,1959,2,1,3,84
2009,1,1,1959,2,1,4,87
2010,1,1,1959,2,1,3,87
2011,1,1,1959,2,1,3,87
2012,1,1,1959,2,1,4,87
2013,1,1,1959,2,1,3,87
2015,1,1,1959,2,1,4,87
2018,1,1,1959,2,1,4,87
2007,1,1,1980,2,1,3,31
2008,1,1,1980,2,1,4,43
2005,1,1,1977,2,0,2,75
2006,1,1,1977,2,0,2,75
2013,2,1,1978,2,1,3,31
2014,2,1,1978,2,1,3,31
2015,2,1,1978,2,1,3,31
2016,2,1,1978,2,1,3,31
2017,2,1,1978,2,1,3,31
2018,2,1,1978,2,1,3,31
2005,1,1,1973,2,1,2,73
2015,1,1,1980,3,1,3,22
2016,1,1,1980,3,1,3,22
2017,1,1,1980,3,1,3,22
2018,1,1,1980,3,1,3,22
2005,1,1,1975,3,1,3,73
2006,1,1,1975,3,1,4,73
2007,1,1,1975,3,1,3,73
2008,1,1,1975,3,1,4,22
2009,1,1,1975,3,1,3,22
2010,1,1,1975,3,1,4,22
2011,1,1,1975,3,1,3,22
2012,1,1,1975,3,1,3,22
2013,1,1,1975,3,1,3,22
2005,1,1,1964,1,1,2,43
2008,1,1,1973,3,0,2,52
2005,1,1,1960,2,1,3,23
2006,1,1,1960,2,1,3,23
2007,1,1,1960,2,1,4,23
2008,1,1,1960,2,1,3,76
2009,1,1,1960,2,1,4,76
2010,1,1,1960,2,1,4,76
2011,1,1,1960,2,1,3,76
2012,1,1,1960,2,1,3,76
2015,1,1,1960,2,1,4,76
2016,1,1,1960,2,1,3,31
2017,1,1,1960,2,1,3,31
2018,1,1,1960,2,1,3,31
2011,1,1,1968,3,1,3,77
2013,1,1,1968,3,1,2,77
2014,1,1,1968,3,1,3,77
2015,1,1,1968,3,1,3,14
2016,1,1,1968,3,1,3,14
2017,1,1,1968,3,1,3,77
2018,1,1,1968,3,1,3,79
2010,1,1,1986,2,0,1,43
2014,1,1,1986,2,1,2,13
2015,1,1,1986,2,1,2,13
2016,1,1,1986,2,1,2,31
2017,1,1,1986,2,1,2,15
2018,1,1,1986,2,1,2,15
2005,1,1,1966,2,1,2,73
2006,1,1,1966,2,1,3,73
2007,1,1,1966,2,1,3,73
2008,1,1,1966,2,1,3,86
2009,1,1,1966,2,1,3,86
2010,1,1,1966,2,1,3,86
2011,1,1,1966,2,1,3,86
2012,1,1,1966,2,1,3,86
2013,1,1,1966,2,1,3,86
2014,1,1,1966,2,1,3,86
2015,1,1,1966,2,1,3,86
2016,1,1,1966,2,1,3,86
2017,1,1,1966,2,1,3,86
2018,1,1,1966,2,1,3,86
2005,1,1,1974,2,1,2,71
2006,1,1,1974,2,1,2,71
2007,1,1,1974,2,1,2,71
2008,1,1,1974,2,1,2,77
2009,1,1,1974,2,1,2,77
2010,1,1,1974,2,1,2,77
2011,1,1,1974,2,1,2,77
2012,1,1,1974,2,1,2,77
2013,1,1,1974,2,1,2,77
2014,1,1,1974,2,1,3,77
2015,1,1,1974,2,1,3,77
2016,1,1,1974,2,1,3,77
2017,1,1,1974,2,1,3,77
2018,1,1,1974,2,1,3,95
2005,1,1,1959,2,1,2,83
2006,1,1,1959,2,1,2,83
2007,1,1,1959,2,1,2,83
2008,1,1,1959,2,1,3,84
2009,1,1,1959,2,1,3,84
2010,1,1,1959,2,1,3,84
2011,1,1,1959,2,1,4,84
2012,1,1,1959,2,1,4,84
2013,1,1,1959,2,1,4,84
2015,1,1,1959,2,1,3,74
2016,1,1,1959,2,1,4,74
2017,1,1,1959,2,1,4,74
2018,1,1,1959,2,1,3,74
2017,2,1,1979,3,1,4,28
2005,1,1,1960,3,1,2,94
2006,1,1,1960,3,1,2,94
2007,1,1,1960,3,1,2,51
